VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,3/1/2019 0:02,3/1/2019 0:04,N,1,193,193,1,0,3.5,0.5,0.5,1.44,0,,0.3,6.24,1,1,0
2,3/1/2019 0:42,3/1/2019 0:47,N,1,80,256,1,0.72,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
